Candidate,Time,Value
No candidate mentioned,22:10,-6
Chris Christie,22:11,-1
Donald Trump,22:11,1
John Kasich,22:11,-1
Marco Rubio,22:11,0
No candidate mentioned,22:11,-7
Rand Paul,22:11,1
Donald Trump,22:12,-1
Jeb Bush,22:12,-1
Mike Huckabee,22:12,-1
No candidate mentioned,22:12,-12
Rand Paul,22:12,-1
Ben Carson,22:13,2
Donald Trump,22:13,1
Jeb Bush,22:13,-1
No candidate mentioned,22:13,-7
Rand Paul,22:13,-1
Ted Cruz,22:13,1
Ben Carson,22:14,1
Donald Trump,22:14,0
Jeb Bush,22:14,-3
No candidate mentioned,22:14,-13
Ben Carson,22:15,1
Chris Christie,22:15,0
Donald Trump,22:15,-2
Jeb Bush,22:15,-4
No candidate mentioned,22:15,-15
Rand Paul,22:15,-1
Ben Carson,22:16,1
Donald Trump,22:16,-2
John Kasich,22:16,1
Mike Huckabee,22:16,-1
No candidate mentioned,22:16,-17
Ted Cruz,22:16,1
Donald Trump,22:17,1
Jeb Bush,22:17,-1
Marco Rubio,22:17,-1
No candidate mentioned,22:17,-12
Donald Trump,22:18,0
Jeb Bush,22:18,-2
John Kasich,22:18,0
No candidate mentioned,22:18,-8
Ted Cruz,22:18,1
Ben Carson,22:19,2
Chris Christie,22:19,-1
Donald Trump,22:19,-2
Jeb Bush,22:19,-1
No candidate mentioned,22:19,-13
Ted Cruz,22:19,1
Ben Carson,22:20,0
Donald Trump,22:20,0
Jeb Bush,22:20,-6
No candidate mentioned,22:20,-9
Ted Cruz,22:20,1
Donald Trump,22:21,-1
John Kasich,22:21,1
No candidate mentioned,22:21,-15
Ted Cruz,22:21,1
Chris Christie,22:22,-1
Donald Trump,22:22,-5
Jeb Bush,22:22,-4
No candidate mentioned,22:22,-7
Scott Walker,22:22,-1
Ted Cruz,22:22,0
Chris Christie,22:23,-1
Donald Trump,22:23,-3
Jeb Bush,22:23,-4
Mike Huckabee,22:23,-1
No candidate mentioned,22:23,-7
Donald Trump,22:24,-2
Jeb Bush,22:24,-1
John Kasich,22:24,1
No candidate mentioned,22:24,-5
Scott Walker,22:24,-1
Donald Trump,22:25,1
Jeb Bush,22:25,0
No candidate mentioned,22:25,-8
Ben Carson,22:26,1
Chris Christie,22:26,-1
Donald Trump,22:26,-2
Jeb Bush,22:26,-1
John Kasich,22:26,1
No candidate mentioned,22:26,-6
Marco Rubio,22:27,-1
No candidate mentioned,22:27,-6
Ted Cruz,22:27,-1
Ben Carson,22:28,1
Donald Trump,22:28,0
John Kasich,22:28,1
No candidate mentioned,22:28,-10
Ben Carson,22:29,1
Chris Christie,22:29,-1
Donald Trump,22:29,-2
Jeb Bush,22:29,0
No candidate mentioned,22:29,-1
Rand Paul,22:29,-1
Donald Trump,22:30,-2
Jeb Bush,22:30,-2
Marco Rubio,22:30,1
No candidate mentioned,22:30,-10
Jeb Bush,22:31,0
Marco Rubio,22:31,2
Mike Huckabee,22:31,1
No candidate mentioned,22:31,-6
Ted Cruz,22:31,-1
Chris Christie,22:32,-1
Donald Trump,22:32,1
Jeb Bush,22:32,-1
No candidate mentioned,22:32,4
Ben Carson,22:33,1
Donald Trump,22:33,0
Jeb Bush,22:33,-1
John Kasich,22:33,0
No candidate mentioned,22:33,2
Ted Cruz,22:33,1
Ben Carson,22:34,1
Jeb Bush,22:34,-1
No candidate mentioned,22:34,-8
Jeb Bush,22:35,-1
Mike Huckabee,22:35,-1
No candidate mentioned,22:35,-4
Ted Cruz,22:35,-1
Jeb Bush,22:36,0
John Kasich,22:36,0
No candidate mentioned,22:36,-2
Donald Trump,22:37,-1
No candidate mentioned,22:37,-3
Scott Walker,22:37,1
Ted Cruz,22:37,1
Ben Carson,22:38,1
Chris Christie,22:38,1
Marco Rubio,22:38,1
No candidate mentioned,22:38,0
Chris Christie,22:39,0
No candidate mentioned,22:39,1
Ben Carson,22:40,1
Jeb Bush,22:40,1
Mike Huckabee,22:40,0
No candidate mentioned,22:40,-3
Donald Trump,22:41,-2
Jeb Bush,22:41,-2
No candidate mentioned,22:41,-3
Donald Trump,22:42,-2
Jeb Bush,22:42,-1
No candidate mentioned,22:42,-5
Chris Christie,22:43,-1
Donald Trump,22:43,-2
Jeb Bush,22:43,-1
No candidate mentioned,22:43,-2
Ben Carson,22:44,1
Donald Trump,22:44,-1
Jeb Bush,22:44,1
John Kasich,22:44,-1
Marco Rubio,22:44,0
No candidate mentioned,22:44,-2
Ted Cruz,22:44,1
No candidate mentioned,22:45,-2
Donald Trump,22:46,1
Marco Rubio,22:46,0
Mike Huckabee,22:46,0
No candidate mentioned,22:46,0
Ted Cruz,22:46,-1
Donald Trump,22:47,1
John Kasich,22:47,1
No candidate mentioned,22:47,1
Rand Paul,22:47,-1
Donald Trump,22:48,2
John Kasich,22:48,1
No candidate mentioned,22:48,-11
Chris Christie,22:49,-1
No candidate mentioned,22:49,-9
Chris Christie,22:50,-1
Donald Trump,22:50,-1
Jeb Bush,22:50,-1
No candidate mentioned,22:50,-5
Ted Cruz,22:50,1
Donald Trump,22:51,-1
John Kasich,22:51,0
No candidate mentioned,22:51,-2
Rand Paul,22:51,-1
Donald Trump,22:52,1
No candidate mentioned,22:52,-3
Rand Paul,22:52,-1
Donald Trump,22:53,1
No candidate mentioned,22:53,-10
Ted Cruz,22:53,1
Donald Trump,22:54,-2
No candidate mentioned,22:54,-5
Rand Paul,22:54,-1
Chris Christie,22:55,-1
Donald Trump,22:55,1
No candidate mentioned,22:55,-3
Rand Paul,22:55,0
Ben Carson,22:56,1
Donald Trump,22:56,1
No candidate mentioned,22:56,-9
Rand Paul,22:56,0
Chris Christie,22:57,-1
Donald Trump,22:57,-1
No candidate mentioned,22:57,-5
Rand Paul,22:57,-1
Donald Trump,22:58,2
No candidate mentioned,22:58,-4
Ben Carson,22:59,0
Donald Trump,22:59,-2
Jeb Bush,22:59,-1
No candidate mentioned,22:59,-6
Ted Cruz,22:59,-1
Donald Trump,23:00,-1
No candidate mentioned,23:00,-3
Ben Carson,23:01,1
Jeb Bush,23:01,-1
No candidate mentioned,23:01,-3
Donald Trump,23:02,-1
No candidate mentioned,23:02,-2
No candidate mentioned,23:03,1
Scott Walker,23:03,0
Ben Carson,23:04,1
Donald Trump,23:04,-2
Jeb Bush,23:04,-1
No candidate mentioned,23:04,-2
Donald Trump,23:05,-1
No candidate mentioned,23:05,-4
